OBJECTID;FID_1;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE;ID;MinElevation;MeanElevation;MaxElevation;MinSlope;MeanSlope;MaxSlope;MeanAspect;DEMResolution;ProductName;Source;Source_URL
66;299;-33,9735;18,9476;386;1,5;1,2;2015-03-11 0:00:00;0017;Aqua;MODIS;100;6.03;304;307,6;N;0;66;313,26999;313,26999;313,26999;7,268919;7,268919;7,268919;205,01114;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
67;2761;-33,9441;19,0179;303,7;1,1;1;2021-02-25 0:00:00;0004;Aqua;MODIS;35;6.03;286,8;7,3;N;0;67;598,14398;598,14398;598,14398;31,949886;31,949886;31,949886;89,157867;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
68;2115;-33,9778;19,0888;325,7;1,8;1,3;2019-02-22 0:00:00;0917;Terra;MODIS;74;6.03;296,3;45,2;D;0;68;722,13;722,13;722,13;40,256832;40,256832;40,256832;274,16861;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
69;945;-33,9625;18,9882;318,3;1,4;1,2;2016-10-28 0:00:00;2339;Aqua;MODIS;97;6.03;285,6;28,7;N;0;69;724,01001;724,01001;724,01001;33,774368;33,774368;33,774368;43,360123;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
70;2785;-33,9931;18,9155;343,8;1,1;1;2021-02-26 0:00:00;1250;Aqua;MODIS;90;6.03;296,9;51,4;D;0;70;756,37;756,37;756,37;33,133144;33,133144;33,133144;192,1205;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
71;2804;-33,9409;18,9352;312,9;1;1;2021-02-26 0:00:00;2352;Aqua;MODIS;27;6.03;292,4;10,9;N;0;71;668,48999;668,48999;668,48999;28,537931;28,537931;28,537931;61,891647;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
72;339;-34,004;18,9165;305,8;1,1;1;2015-03-13 0:00:00;0005;Aqua;MODIS;66;6.03;285,2;9,8;N;0;72;997,18005;997,18005;997,18005;25,727459;25,727459;25,727459;218,90536;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
73;2810;-33,9627;18,9532;302,7;1;1;2021-02-26 0:00:00;2352;Aqua;MODIS;26;6.03;291,1;4,8;N;0;73;636,87;636,87;636,87;20,618727;20,618727;20,618727;209,66522;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
74;2776;-34,0117;18,98;335,9;1,1;1;2021-02-26 0:00:00;1250;Aqua;MODIS;69;6.03;300,9;32,7;D;0;74;1102,5199;1102,5199;1102,5199;19,149637;19,149637;19,149637;37,285919;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
75;2768;-33,9909;18,9883;385,3;1,4;1,2;2021-02-26 0:00:00;0833;Terra;MODIS;100;6.03;302,5;269,7;D;0;75;710,91003;710,91003;710,91003;23,757164;23,757164;23,757164;229,89844;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
76;295;-33,9824;18,9279;318,9;1,5;1,2;2015-03-11 0:00:00;0017;Aqua;MODIS;65;6.03;292,5;28;N;0;76;662,81;662,81;662,81;19,593863;19,593863;19,593863;38,492188;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
77;1375;-33,9249;18,9766;360,7;2;1,4;2017-02-21 0:00:00;1214;Aqua;MODIS;100;6.03;306,6;213,6;D;0;77;789,09003;789,09003;789,09003;39,647953;39,647953;39,647953;293,32394;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
78;980;-33,9312;18,9917;305,3;1,6;1,2;2016-11-21 0:00:00;2114;Terra;MODIS;64;6.03;286,8;15;N;0;78;1298,7616;1298,7616;1298,7616;16,248192;16,248192;16,248192;46,953011;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
79;329;-33,981;18,8884;310,2;1,1;1;2015-03-11 0:00:00;2145;Terra;MODIS;79;6.03;292,8;11,4;N;0;79;428,35001;428,35001;428,35001;46,119175;46,119175;46,119175;332,47769;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
80;2723;-33,9824;19,0585;363,7;1,6;1,2;2021-02-24 0:00:00;1302;Aqua;MODIS;100;6.03;305;165,5;D;0;80;359,33002;359,33002;359,33002;20,522659;20,522659;20,522659;141,6427;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
81;979;-33,9511;19,0033;319,2;1,5;1,2;2016-11-21 0:00:00;0911;Terra;MODIS;39;6.03;296,5;19,8;D;0;81;1057,8201;1057,8201;1057,8201;27,906712;27,906712;27,906712;352,55307;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
82;2709;-33,9492;19,0543;351,2;1;1;2021-02-24 0:00:00;0845;Terra;MODIS;96;6.03;297,4;58,6;D;0;82;859,83838;859,83838;859,83838;50,131702;50,131702;50,131702;353,95822;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
83;2767;-34,0029;19,0118;333,3;1;1;2021-02-25 0:00:00;2131;Terra;MODIS;100;6.03;282,6;37,4;N;0;83;1259,91;1259,91;1259,91;14,922533;14,922533;14,922533;20,101183;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
84;271;-33,9757;18,9795;310,2;1,5;1,2;2015-03-09 0:00:00;2157;Terra;MODIS;79;6.03;290,2;20,1;N;0;84;720,60321;720,60321;720,60321;37,740047;37,740047;37,740047;163,00029;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
