OBJECTID;FID_1;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE;ID;MinElevation;MeanElevation;MaxElevation;MinSlope;MeanSlope;MaxSlope;MeanAspect;DEMResolution;ProductName;Source;Source_URL
434;1268;-33,92121;19,02373;314,72;0,33;0,55;2019-03-27 0:00:00;2304;N20;VIIRS;n;2;286,73;4,9;N;0;434;953,21002;953,21002;953,21002;18,557074;18,557074;18,557074;283,73685;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
435;3520;-33,97147;18,98917;317,54;0,55;0,43;2021-02-27 0:00:00;2323;N20;VIIRS;n;2;290,95;2,32;N;0;435;1346,01;1346,01;1346,01;37,246647;37,246647;37,246647;51,680389;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
436;3175;-33,95981;19,02877;338,88;0,55;0,51;2021-02-25 0:00:00;0019;N20;VIIRS;n;2;288,23;12,23;N;0;436;1198,25;1198,25;1198,25;33,645409;33,645409;33,645409;353,52966;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
437;3130;-33,95073;19,00936;348,41;0,71;0,75;2021-02-24 0:00:00;2239;N20;VIIRS;n;2;288,39;7,39;N;0;437;953,45001;953,45001;953,45001;13,899203;13,899203;13,899203;322,78687;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
438;3389;-33,94667;18,923;335,38;0,39;0,36;2021-02-26 0:00:00;2342;N20;VIIRS;n;2;300,76;7,19;N;0;438;470,09;470,09;470,09;33,518478;33,518478;33,518478;203,64;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
439;2940;-33,96734;19,05067;367;0,4;0,6;2021-02-23 0:00:00;2258;N20;VIIRS;h;2;286,79;26,9;N;0;439;743,04999;743,04999;743,04999;16,720936;16,720936;16,720936;107,41565;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
440;3124;-33,97222;19,03007;319,05;0,71;0,75;2021-02-24 0:00:00;2239;N20;VIIRS;n;2;282,14;3,67;N;0;440;1198,23;1198,23;1198,23;34,035618;34,035618;34,035618;161,87605;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
441;2939;-33,96647;19,04737;339,77;0,4;0,6;2021-02-23 0:00:00;2258;N20;VIIRS;n;2;284,72;3,59;N;0;441;801,95001;801,95001;801,95001;15,48294;15,48294;15,48294;204,85416;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
442;3277;-33,97852;18,94707;349,27;0,42;0,37;2021-02-26 0:00:00;1223;N20;VIIRS;n;2;305,2;38,94;D;0;442;272,23001;272,23001;272,23001;3,497894;3,497894;3,497894;358,40903;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
443;2894;-33,97421;19,05289;367;0,4;0,6;2021-02-23 0:00:00;2258;N20;VIIRS;h;2;286,96;25,65;N;0;443;748,14996;748,14996;748,14996;5,2750731;5,2750731;5,2750731;193,84213;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
444;3062;-33,97604;19,05073;336,74;0,44;0,46;2021-02-24 0:00:00;1300;N20;VIIRS;n;2;296,69;40,26;D;0;444;746,42285;746,42285;746,42285;21,53072;21,53072;21,53072;122,39021;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
445;3070;-33,95428;19,02714;304,46;0,44;0,46;2021-02-24 0:00:00;1300;N20;VIIRS;l;2;308,45;34,86;D;0;445;999,07996;999,07996;999,07996;4,3787794;4,3787794;4,3787794;302,66238;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
446;3241;-33,99567;19,00219;323,55;0,47;0,4;2021-02-26 0:00:00;0000;N20;VIIRS;n;2;282,46;12,43;N;0;446;846,07001;846,07001;846,07001;37,103149;37,103149;37,103149;173,07426;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
447;3168;-33,95874;19,01633;344,27;0,55;0,51;2021-02-25 0:00:00;0019;N20;VIIRS;n;2;287,82;17,62;N;0;447;1124,5708;1124,5708;1124,5708;44,259098;44,259098;44,259098;73,791664;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
448;3435;-33,98085;18,95194;333,41;0,39;0,36;2021-02-26 0:00:00;2342;N20;VIIRS;n;2;294,08;5,56;N;0;448;278,79001;278,79001;278,79001;7,3576822;7,3576822;7,3576822;266,79733;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
449;3060;-33,94695;19,06212;354,99;0,52;0,67;2021-02-24 0:00:00;0038;N20;VIIRS;n;2;300,42;44,8;N;0;449;585,33563;585,33563;585,33563;37,23399;37,23399;37,23399;279,27542;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
450;3280;-33,98197;18,94783;352,19;0,42;0,37;2021-02-26 0:00:00;1223;N20;VIIRS;n;2;306,65;8,42;D;0;450;292,17999;292,17999;292,17999;4,4013081;4,4013081;4,4013081;8,0562611;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
451;3355;-33,98423;18,93067;349,75;0,42;0,38;2021-02-26 0:00:00;1223;N20;VIIRS;n;2;301,68;5,65;D;0;451;667,58002;667,58002;667,58002;23,644808;23,644808;23,644808;351,38626;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
452;3066;-33,97721;19,04524;343,9;0,44;0,46;2021-02-24 0:00:00;1300;N20;VIIRS;n;2;312,86;40,26;D;0;452;807,94;807,94;807,94;34,023861;34,023861;34,023861;173,39937;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
453;3354;-33,98368;18,93481;347,57;0,42;0,38;2021-02-26 0:00:00;1223;N20;VIIRS;n;2;303,97;5,65;D;0;453;531,17999;531,17999;531,17999;37,610683;37,610683;37,610683;16,896648;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
454;3252;-33,98934;19,04118;350,56;0,47;0,4;2021-02-26 0:00:00;0000;N20;VIIRS;n;2;293,7;9,13;N;0;454;548,17999;548,17999;548,17999;22,56558;22,56558;22,56558;359,30774;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
455;3316;-33,99795;18,9343;367;0,42;0,38;2021-02-26 0:00:00;1223;N20;VIIRS;h;2;301,78;18,59;D;0;455;1200,23;1200,23;1200,23;34,587772;34,587772;34,587772;33,830437;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
456;3228;-33,94519;19,00902;349,08;0,41;0,37;2021-02-25 0:00:00;1241;N20;VIIRS;n;2;301,78;7,41;D;0;456;660,16998;660,16998;660,16998;39,381992;39,381992;39,381992;18,672356;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
457;2906;-33,95913;19,04002;295,59;0,4;0,6;2021-02-23 0:00:00;2258;N20;VIIRS;n;2;284,31;1,46;N;0;457;917,87;917,87;917,87;26,549524;26,549524;26,549524;171,29344;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
458;3447;-33,98873;18,9159;318,04;0,39;0,36;2021-02-26 0:00:00;2342;N20;VIIRS;n;2;289,86;1,11;N;0;458;1109,14;1109,14;1109,14;20,877274;20,877274;20,877274;209,3448;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
459;3082;-33,98882;19,05368;341,8;0,44;0,46;2021-02-24 0:00:00;1300;N20;VIIRS;n;2;303,93;51,13;D;0;459;975,94;975,94;975,94;18,091919;18,091919;18,091919;322,97824;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
460;1281;-33,91479;19,01944;317,9;0,33;0,55;2019-03-27 0:00:00;2304;N20;VIIRS;n;2;287,15;2,57;N;0;460;705,42999;705,42999;705,42999;21,22632;21,22632;21,22632;56,317146;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
461;1292;-33,91853;19,02035;335,33;0,64;0,72;2019-03-28 0:00:00;0045;N20;VIIRS;n;2;286,96;8,56;N;0;461;781,75;781,75;781,75;11,804464;11,804464;11,804464;358,05942;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
462;1273;-33,92399;19,01312;352,02;0,33;0,55;2019-03-27 0:00:00;2304;N20;VIIRS;n;2;286,73;4,76;N;0;462;1045,34;1045,34;1045,34;11,447427;11,447427;11,447427;41,473911;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
463;3484;-33,97017;18,97839;367;0,45;0,47;2021-02-27 0:00:00;1204;N20;VIIRS;h;2;302,25;6,97;D;0;463;1317,01;1317,01;1317,01;19,019007;19,019007;19,019007;139,36484;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
