OBJECTID;FID_1;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE;ID;MinElevation;MeanElevation;MaxElevation;MinSlope;MeanSlope;MaxSlope;MeanAspect;DEMResolution;ProductName;Source;Source_URL
45;2998;-33,96281;18,97838;305,06;0,41;0,37;2016-10-29 0:00:00;2336;N;VIIRS;n;2;281,04;1,07;N;0;45;1095,01;1095,01;1095,01;35,279991;35,279991;35,279991;16,181133;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
46;931;-34,00891;18,97154;300,97;0,33;0,55;2015-03-10 0:00:00;0032;N;VIIRS;n;2;283,36;1,27;N;0;46;1097,52;1097,52;1097,52;19,032387;19,032387;19,032387;240,03726;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
47;965;-33,97606;18,95295;338,69;0,55;0,42;2015-03-11 0:00:00;0013;N;VIIRS;n;2;317,17;33,04;N;0;47;348,97;348,97;348,97;10,840327;10,840327;10,840327;212,21655;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
48;3171;-33,94715;18,99758;299,7;0,62;0,72;2016-11-22 0:00:00;0045;N;VIIRS;n;2;283,99;0,96;N;0;48;1009,82;1009,82;1009,82;10,87127;10,87127;10,87127;40,775257;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
49;9333;-33,99981;18,99879;343,35;0,76;0,77;2021-02-26 0:00:00;0051;N;VIIRS;n;2;285,68;8,69;N;0;49;604,59998;604,59998;604,59998;21,388073;21,388073;21,388073;218,40254;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
50;964;-33,97667;18,95842;336,75;0,55;0,42;2015-03-11 0:00:00;0013;N;VIIRS;n;2;291,52;33,04;N;0;50;401,34003;401,34003;401,34003;23,457232;23,457232;23,457232;203,06427;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
51;9536;-33,99207;18,92098;298,75;0,48;0,65;2021-02-26 0:00:00;2251;N;VIIRS;n;2;287,84;4,33;N;0;51;941,88;941,88;941,88;39,072815;39,072815;39,072815;201,17357;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
52;9130;-33,94659;19,06594;352,24;0,39;0,36;2021-02-23 0:00:00;2347;N;VIIRS;n;2;314,53;49,55;N;0;52;628,64001;628,64001;628,64001;43,76516;43,76516;43,76516;49,569023;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
53;9385;-33,99069;18,93399;208;0,63;0,72;2021-02-26 0:00:00;1132;N;VIIRS;l;2;316,34;167,88;D;0;53;773,28998;773,28998;773,28998;40,248123;40,248123;40,248123;75,785309;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
54;9503;-34,00921;18,98367;367;0,32;0,55;2021-02-26 0:00:00;1312;N;VIIRS;h;2;298,91;7,75;D;0;54;1053,1799;1053,1799;1053,1799;11,165062;11,165062;11,165062;10,854962;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
55;9327;-34,00783;19,02851;320,27;0,76;0,77;2021-02-26 0:00:00;0051;N;VIIRS;n;2;281,49;5,89;N;0;55;1204,13;1204,13;1204,13;31,868923;31,868923;31,868923;285,02148;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
56;9285;-33,94929;19,00665;348,13;0,34;0,56;2021-02-25 0:00:00;1151;N;VIIRS;n;2;299,96;9,2;D;0;56;979,63995;979,63995;979,63995;18,555086;18,555086;18,555086;20,39427;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
57;9344;-33,97078;18,9189;367;0,63;0,72;2021-02-26 0:00:00;1132;N;VIIRS;h;2;291,43;52,05;D;0;57;331,70999;331,70999;331,70999;10,199245;10,199245;10,199245;144,90092;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
58;9531;-33,99736;18,94035;327,4;0,48;0,65;2021-02-26 0:00:00;2251;N;VIIRS;n;2;290,23;3,88;N;0;58;919,16998;919,16998;919,16998;21,354893;21,354893;21,354893;52,058186;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
59;9319;-34,00724;19,03264;321,09;0,76;0,77;2021-02-26 0:00:00;0051;N;VIIRS;n;2;281,32;5,02;N;0;59;1236,5032;1236,5032;1236,5032;38,18243;38,18243;38,18243;39,945309;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
60;1121;-33,94926;18,9481;332,88;0,39;0,36;2015-03-11 0:00:00;2354;N;VIIRS;n;2;292,76;1,98;N;0;60;863,31;863,31;863,31;23,284563;23,284563;23,284563;21,230251;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
61;9455;-33,9735;18,95338;367;0,32;0,55;2021-02-26 0:00:00;1312;N;VIIRS;h;2;307,07;30,5;D;0;61;432,95999;432,95999;432,95999;16,877129;16,877129;16,877129;203,5787;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
62;9476;-33,98701;18,94207;337,23;0,32;0,55;2021-02-26 0:00:00;1312;N;VIIRS;n;2;299,64;10,04;D;0;62;427,72;427,72;427,72;17,126722;17,126722;17,126722;4,6744308;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
63;9473;-33,97831;18,95573;367;0,32;0,55;2021-02-26 0:00:00;1312;N;VIIRS;h;2;310,3;30,5;D;0;63;337,69;337,69;337,69;8,7295361;8,7295361;8,7295361;268,60168;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
64;1143;-33,99893;18,91115;329,4;0,39;0,36;2015-03-11 0:00:00;2354;N;VIIRS;n;2;294,43;2,38;N;0;64;765,89996;765,89996;765,89996;36,873253;36,873253;36,873253;354,73557;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
65;3157;-33,92874;18,99706;306,36;0,32;0,55;2016-11-21 0:00:00;2305;N;VIIRS;n;2;285,46;0,49;N;0;65;1356,41;1356,41;1356,41;25,820066;25,820066;25,820066;263,01773;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
66;9756;-33,99031;19,00739;301,15;0,41;0,37;2021-02-28 0:00:00;2354;N;VIIRS;n;2;291,09;0,48;N;0;66;1107,4399;1107,4399;1107,4399;47,703526;47,703526;47,703526;151,19467;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
67;9603;-33,99055;18,92329;310,7;0,41;0,6;2021-02-27 0:00:00;0032;N;VIIRS;n;2;289,6;5,38;N;0;67;1090,2999;1090,2999;1090,2999;27,47636;27,47636;27,47636;6,2708869;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
68;967;-33,97476;18,94147;341,51;0,54;0,42;2015-03-11 0:00:00;0013;N;VIIRS;n;2;289,39;64,68;N;0;68;256,64001;256,64001;256,64001;6,4095922;6,4095922;6,4095922;6,0646448;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
69;8767;-33,99722;18,89581;334,61;0,47;0,4;2020-12-06 0:00:00;2329;N;VIIRS;n;2;297,54;6,83;N;0;69;467,32001;467,32001;467,32001;20,983505;20,983505;20,983505;293,96271;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
70;9437;-33,97538;18,9236;367;0,32;0,54;2021-02-26 0:00:00;1312;N;VIIRS;h;2;298,29;21,24;D;0;70;331,66;331,66;331,66;20,344196;20,344196;20,344196;6,0243974;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
71;9666;-33,9761;18,99734;304,82;0,41;0,61;2021-02-27 0:00:00;0032;N;VIIRS;n;2;288,4;0,93;N;0;71;1177,01;1177,01;1177,01;46,405609;46,405609;46,405609;290,60211;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
72;8777;-33,99366;18,8973;312,29;0,47;0,4;2020-12-06 0:00:00;2329;N;VIIRS;n;2;292,01;2,21;N;0;72;290,92999;290,92999;290,92999;6,1625099;6,1625099;6,1625099;244,02971;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
73;9412;-33,984;18,9318;367;0,63;0,72;2021-02-26 0:00:00;1132;N;VIIRS;l;2;346,61;875,19;D;0;73;660,82001;660,82001;660,82001;17,000032;17,000032;17,000032;20,284227;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
